Name,NUE_High_N,NUE_Low_N,Q1,Q2,Q3,Q4,Q5
S1,1.009331133,1.005866451,0,0,0,0,0
S10,1.029146882,1.002192449,1,1.92E-96,3.98E-173,3.12E-167,2.33E-51
S100,0.931754184,0.922372185,0,0,0,0,0
S101,1.023976643,1.076930809,0,0,0,0,0
S102,1.069484691,1.030034349,7.02E-47,3.69E-54,2.89E-140,3.48E-135,1
S103,0.83826232,0.861390581,1.96E-137,1,1.34E-215,2.42E-210,4.14E-69
S104,1.084758614,0.943722527,2.71E-79,1,5.20E-157,2.29E-151,2.17E-15
S105,0.997237932,0.939571142,5.88E-62,1,3.24E-182,4.04E-179,1.00E-54
S106,0.940057033,0.980438888,1.55E-83,1,3.58E-153,5.53E-149,3.36E-21
S107,1.11918909,1.088801515,9.89E-54,2.15E-30,3.17E-125,9.14E-121,1
S108,1.072164343,0.98348597,3.17E-52,5.57E-25,2.15E-134,3.26E-133,1
S109,1.075540486,1.019282893,1,5.42E-89,1.35E-181,9.81E-176,3.90E-48
S11,1.040023862,1.071512154,1,3.90E-97,9.75E-182,5.90E-175,4.45E-56
S110,1.031985319,1.033906006,1.32E-66,4.92E-15,2.40E-144,1.51E-141,1
S111,1.064679581,0.974664465,1.33E-92,1,5.96E-167,9.27E-164,1.09E-24
S112,1.068204838,1.039609055,1,3.43E-91,5.25E-175,9.51E-169,6.46E-51
S113,0.899830233,0.958714842,1,9.99E-101,4.29E-186,6.12E-179,5.12E-53
S114,0.991944167,0.978804185,2.88E-44,3.96E-50,1.18E-139,1.25E-133,1
S115,1.02813093,1.023947371,1,7.29E-84,2.29E-176,3.24E-172,4.42E-46
S116,1.037597094,0.984554489,1,8.83E-97,9.18E-184,1.08E-177,1.60E-49
S117,1.05088415,0.977861204,5.41E-62,1,7.59E-194,5.89E-190,2.61E-56
S118,1.011585111,0.961616273,3.11E-50,1.86E-52,8.41E-137,3.68E-131,1
S119,1.070582127,1.09066247,1,1.27E-85,6.64E-187,1.72E-180,1.29E-50
S12,0.965328766,1.003023436,1,6.91E-103,1.23E-194,9.52E-188,2.23E-60
S120,1.038997958,1.074406602,1,2.57E-100,1.54E-182,8.21E-177,2.30E-51
S121,1.040396932,0.974852874,1.12E-46,2.19E-58,0.0000664,0.999933222,0.000000361
S122,1.046809184,1.057336496,1,8.02E-92,3.56E-198,6.28E-190,2.28E-53
S123,1.03055985,0.995822269,1,3.77E-96,3.92E-172,8.25E-165,1.05E-51
S124,1.011291111,0.985451141,1,2.50E-99,4.57E-181,4.49E-175,9.61E-54
S125,0.960936475,0.979966581,1,1.99E-99,5.58E-178,5.17E-173,1.81E-53
S126,1.053378582,0.90872978,1,1.08E-88,6.52E-179,4.37E-171,2.00E-51
S127,1.168847081,1.161150415,1,3.19E-81,2.21E-164,7.03E-157,1.51E-45
S128,0.944226531,0.905777398,1.84E-47,8.92E-49,3.27E-138,4.88E-131,1
S129,1.04901156,1.090083247,1,5.50E-94,7.92E-184,3.32E-177,4.02E-51
S13,0.9498944,1.057729661,4.48E-42,3.95E-51,2.17E-139,7.71E-136,1
S130,0.965244933,1.01026101,1,7.80E-88,1.81E-166,1.34E-160,8.01E-44
S131,1.013411165,0.968096421,1.27E-49,8.56E-51,5.36E-134,2.53E-130,1
S134,0.946841211,0.883428134,1,9.74E-98,3.59E-185,1.92E-179,3.88E-50
S135,0.905986194,0.90779296,1,6.94E-92,1.23E-186,2.21E-178,1.37E-52
S136,0.953686898,1.014825254,2.61E-49,4.60E-52,4.41E-138,1.09E-131,1
S137,1.015264849,1.021914103,1,1.19E-83,1.14E-182,6.94E-177,1.80E-46
S138,1.060744806,0.945804184,9.07E-51,1,7.31E-180,3.84E-171,1.14E-40
S139,0.990247797,0.913718493,5.39E-96,1,3.20E-199,1.40E-194,1.62E-63
S14,0.953730882,0.96929666,1,2.44E-85,8.65E-179,2.45E-172,6.54E-47
S140,0.955167823,0.967256858,2.35E-97,1,1.48E-203,4.33E-199,8.31E-71
S141,1.000320417,0.995818659,0,0,0,0,0
S142,1.05910692,1.025763973,1.65E-51,1.11E-54,2.91E-121,2.04E-117,1
S143,0.829029334,0.824179624,1,9.05E-90,3.27E-193,5.35E-188,1.68E-50
S144,1.091178685,1.083643862,9.26E-56,1.78E-52,2.74E-136,2.16E-132,1
S145,0.981482876,0.967104273,1,2.42E-84,2.49E-174,5.05E-167,3.93E-46
S147,0.996309036,1.001175448,1.76E-53,2.60E-57,1.12E-136,2.48E-133,1
S148,1.124701864,1.109850275,1,1.85E-89,3.40E-172,1.71E-167,1.52E-49
S149,0.837134434,0.899637005,1,9.62E-101,1.64E-191,7.98E-184,3.10E-56
S15,0.994585144,0.99198001,1,1.58E-89,5.49E-188,1.74E-180,1.34E-48
S150,1.004459746,1.026050218,1,2.80E-94,7.84E-176,3.79E-170,3.78E-47
S151,1.012103372,0.995741615,0,0,0,0,0
S152,0.862537887,0.898034462,0,0,0,0,0
S153,0.99643234,1.061670579,1,3.17E-79,1.10E-185,3.51E-179,7.84E-48
S154,1.018174688,0.995736845,1,1.07E-98,4.53E-180,1.78E-173,3.65E-53
S155,0.943987475,0.870849109,1,1.10E-90,8.17E-196,1.62E-186,1.16E-53
S156,1.071533806,1.025825856,9.11E-114,1,3.06E-179,1.21E-174,1.38E-28
S157,0.879371278,0.973400021,3.11E-44,1.13E-56,2.16E-151,1.94E-144,1
S158,0.970305367,1.050642611,3.39E-42,2.99E-54,7.54E-152,3.64E-146,1
S159,0.969177139,1.101005887,1,1.03E-88,4.25E-174,2.34E-164,3.10E-50
S16,1.020196543,1.092037747,1.10E-43,1.17E-55,1.53E-145,2.34E-140,1
S160,1.119965006,0.887263147,1.50E-104,1,1.82E-178,1.78E-173,3.45E-44
S161,0.92843153,0.85767464,2.42E-94,1,1.18E-199,5.71E-193,6.32E-56
S162,0.944309991,1.052972341,1,1.32E-123,8.51E-198,1.34E-191,1.80E-70
S163,0.872377861,0.963623659,1,8.83E-90,9.16E-179,4.75E-171,4.34E-49
S164,1.037985102,1.035937764,1,9.43E-81,6.98E-188,4.85E-180,4.07E-38
S165,0.986211805,0.9942491,1.57E-48,5.84E-53,1.11E-140,7.57E-137,1
S166,1.007891596,1.014406927,1,2.21E-87,4.66E-189,8.10E-183,5.81E-50
S167,1.040614859,1.114547025,4.12E-56,2.59E-28,2.37E-138,1.59E-134,1
S168,1.040724996,0.96485143,1,2.50E-100,3.11E-174,3.55E-169,5.32E-54
S169,0.99577111,1.085329268,1,9.29E-95,8.54E-192,1.24E-183,7.03E-56
S17,0.965805928,0.972972532,1,9.95E-102,7.58E-196,2.51E-188,5.30E-57
S170,0.844121404,0.9247181,1,9.22E-88,3.37E-173,7.90E-169,2.00E-43
S171,0.845416382,0.816018641,1,1.19E-96,1.41E-184,7.18E-179,4.89E-52
S172,1.035828126,1.025125125,1,5.16E-89,8.32E-195,1.51E-188,3.51E-53
S173,0.966202203,0.870490784,1,2.76E-99,1.78E-181,2.02E-177,1.00E-55
S174,0.95626614,0.971710645,5.76E-98,3.29E-123,1.08E-10,1,8.28E-67
S175,1.085472777,1.074518855,0,0,0,0,0
S176,0.995997798,0.930744361,1,1.09E-84,3.44E-191,2.02E-184,2.04E-45
S177,1.043933374,1.00244604,1,9.84E-101,2.42E-193,7.22E-187,3.29E-56
S178,1.11043918,1.010525148,8.94E-48,7.53E-53,7.16E-137,3.38E-134,1
S179,0.946568811,0.937345374,1,1.13E-83,1.54E-182,3.58E-179,1.65E-46
S18,0.98051782,0.984512524,1,1.81E-74,2.12E-168,3.27E-160,1.17E-40
S180,0.937932491,0.963745999,1,6.67E-83,6.04E-188,1.32E-178,1.28E-48
S181,0.939511811,0.955339652,1,5.64E-99,2.95E-182,1.93E-178,4.61E-54
S182,1.054209232,1.064161716,1,2.51E-90,1.04E-184,2.37E-178,1.85E-52
S183,0.982886769,0.952877299,1,2.97E-102,1.75E-178,8.35E-172,9.66E-59
S184,1.074962,1.068375818,1,1.39E-93,2.01E-181,1.60E-173,1.63E-50
S185,0.944046737,1.094968092,1,2.36E-88,2.40E-172,3.37E-165,7.68E-44
S186,1.008589402,1.011677273,1,1.02E-90,5.02E-172,1.13E-165,6.61E-45
S187,1.062569114,1.10600356,1,2.25E-103,7.44E-203,2.57E-196,5.37E-57
S188,0.857331284,0.879653283,3.82E-69,1,4.42E-199,7.14E-195,6.84E-74
S189,1.005068482,0.922060342,1,1.51E-91,3.92E-171,1.15E-165,1.05E-44
S19,1.01357896,1.000406183,1,1.43E-95,6.56E-181,1.15E-173,1.60E-53
S190,0.976271045,0.966574233,5.60E-55,9.22E-53,1.09E-137,4.58E-134,1
S191,0.963673766,0.961381957,1,3.74E-100,2.58E-174,1.34E-170,1.08E-53
S193,1.095585446,0.994055021,7.81E-49,4.66E-53,1.46E-145,7.76E-141,1
S194,1.050952353,1.002460483,1,9.32E-103,2.18E-176,1.24E-169,1.68E-56
S195,1.008602958,1.037545196,1,9.18E-94,1.98E-179,1.68E-173,4.92E-54
S197,0.996390135,1.057996584,1,1.34E-96,5.93E-180,4.16E-174,1.15E-52
S198,0.723044319,0.721160374,1,4.05E-85,6.77E-186,3.73E-178,3.74E-45
S199,1.00251379,1.02556645,1,1.51E-102,1.01E-180,1.07E-172,2.06E-55
S2,1.095947028,1.017374854,8.66E-104,1,5.90E-206,4.96E-200,1.20E-68
S20,1.062014567,1.03636802,4.34E-50,4.88E-57,2.85E-146,7.01E-141,1
S200,1.030732289,0.99865868,1,4.43E-93,1.21E-175,3.92E-169,4.91E-48
S201,1.031946128,0.971909991,1,4.63E-101,7.29E-191,3.38E-183,1.94E-55
S202,1.080918757,1.011275208,1,1.16E-112,3.95E-195,3.51E-187,6.08E-64
S203,0.965050405,0.947944094,0,0,0,0,0
S204,1.102445793,1.013331631,1,6.21E-92,3.33E-181,3.36E-172,2.01E-49
S205,0.946592189,0.939122816,0,0,0,0,0
S206,1.086304817,1.066920574,1,1.83E-91,7.78E-185,1.58E-176,1.36E-51
S207,0.985637671,0.973954654,2.61E-52,1.21E-52,2.34E-132,3.43E-128,1
S208,0.919439234,1.034076739,1,2.29E-99,4.00E-188,4.09E-182,8.41E-57
S209,0.973901707,0.976610282,0,0,0,0,0
S21,0.939612612,0.994294418,3.06E-54,2.83E-56,3.92E-147,5.02E-142,1
S210,1.003245399,0.986717046,1,5.93E-85,4.09E-178,2.85E-171,8.04E-43
S211,0.998814598,0.956860648,1,2.89E-81,8.08E-168,2.02E-160,8.14E-43
S212,0.93802671,0.987753688,0,0,0,0,0
S214,1.056831251,1.172785308,4.29E-58,7.78E-57,3.04E-108,1.94E-105,1
S215,1.039730979,1.00E+00,1,1.80E-87,7.82E-181,2.84E-176,1.67E-49
S216,0.909549542,1.152260995,1,3.00E-90,7.85E-174,1.01E-167,1.40E-45
S217,1.031061683,1.003254957,1,1.45E-74,9.20E-164,2.21E-156,2.10E-41
S218,1.020620204,1,0,0,0,0,0
S219,1.025743811,1.11930883,0,0,0,0,0
S22,0.977567735,0.958853809,1,2.28E-81,6.42E-180,1.91E-172,1.86E-44
S220,1.119710585,1.062031931,9.57E-45,2.59E-52,3.24E-151,4.53E-146,1
S221,0.886800457,0.946503398,6.77E-58,9.87E-45,1.62E-125,6.88E-121,1
S23,0.984698322,0.976419707,1,4.34E-98,6.31E-168,5.81E-161,2.72E-48
S24,1.067653823,1.093256522,0,0,0,0,0
S25,0.945032193,0.907207325,1,1.81E-94,5.45E-175,3.14E-169,2.78E-53
S26,1.052086258,1.164642742,5.96E-54,2.30E-52,3.58E-142,2.87E-138,1
S27,0.992343067,0.984469625,1,6.27E-106,6.34E-183,3.64E-176,7.95E-58
S28,1.059953449,1.048596127,1,2.04E-95,2.65E-179,2.50E-175,3.08E-50
S29,1.023453283,1.057509362,1,1.34E-85,3.18E-168,1.25E-161,3.33E-46
S30,0.972641581,0.982994028,1,1.51E-107,2.27E-166,3.43E-163,7.43E-59
S31,1.012416435,1.047325272,1,7.52E-101,8.03E-190,8.47E-185,3.86E-56
S32,0.93108454,0.944580413,1.62E-48,1.79E-56,2.23E-140,1.43E-136,1
S33,0.9579508,0.968857132,9.54E-128,1.46E-144,0.0000911,0.999908925,8.63E-93
S34,1.158653495,1.027978288,1,1.07E-83,1.54E-171,3.45E-165,5.70E-42
S35,0.998596282,0.961908401,2.95E-56,1.48E-12,5.95E-138,2.89E-134,1
S36,0.952234067,0.95692822,1,7.17E-96,1.91E-175,7.23E-168,2.58E-55
S37,0.99478003,0.990468365,1,2.07E-100,2.31E-185,1.88E-178,2.87E-54
S38,0.945072339,0.964365744,9.89E-122,1.96E-126,0.000000155,0.999999845,1.02E-82
S39,0.99052953,0.890206838,1,1.16E-90,1.10E-183,1.40E-176,3.88E-53
S4,1.072553588,0.989783042,2.06E-47,6.17E-48,2.04E-145,1.58E-140,1
S40,1.022864091,1.003849784,1,9.32E-98,1.36E-166,5.49E-160,9.22E-53
S41,1.150465346,1.220199407,1,7.23E-88,7.81E-193,8.11E-186,5.81E-47
S42,1.012501247,1.087276184,1,2.70E-93,2.44E-165,8.58E-160,1.92E-50
S43,0.950125564,1.016085175,1,7.44E-92,7.67E-193,1.54E-185,7.99E-53
S44,1.070574819,1.018213953,1,4.63E-92,4.40E-177,4.21E-171,3.39E-49
S45,1.064512828,1.00997669,1,2.16E-102,2.40E-172,2.01E-167,1.26E-54
S46,0.944112742,1.011794475,1,6.71E-85,5.38E-163,5.05E-158,5.27E-47
S47,0.968524209,0.890746175,1,9.37E-84,2.21E-166,1.66E-159,1.26E-44
S48,0.870943942,1.01291182,6.38E-50,1.66E-55,1.54E-124,1.11E-119,1
S49,0.951158662,1.005618915,4.07E-45,7.14E-36,7.66E-126,1.95E-120,1
S5,1.118645526,1.010129373,1,9.17E-97,9.19E-183,8.59E-177,3.71E-54
S50,0.964244506,0.98244618,1,5.36E-96,4.04E-184,6.56E-179,8.99E-51
S51,0.983120128,1.048182689,1,4.94E-97,6.27E-185,7.21E-176,1.05E-55
S52,0.970825853,1,1.37E-53,3.70E-55,1.19E-140,2.27E-137,1
S54,0.977167889,0.946997083,1.03E-53,3.95E-51,3.61E-148,1.13E-144,1
S55,1.025565492,1.082114049,3.60E-44,2.04E-57,4.20E-137,1.65E-133,1
S56,1.079123462,1.081773945,1,4.64E-91,1.71E-196,8.84E-187,1.57E-55
S57,0.991777516,1.002729245,1,8.00E-98,2.07E-180,9.63E-176,3.28E-57
S59,0.895016142,0.966793206,1,1.06E-87,1.83E-188,1.82E-182,8.71E-48
S6,0.890410114,0.887943873,1,8.26E-62,1.62E-177,5.02E-171,1.62E-45
S60,0.935888651,1,1,7.29E-86,4.75E-187,1.04E-180,2.54E-50
S61,0.973703286,0.944229014,1,6.74E-87,4.30E-169,2.29E-163,1.66E-46
S62,1.009019203,0.998342662,1,6.87E-104,1.64E-192,3.32E-184,1.55E-58
S63,1.001000621,1.023655704,1,1.03E-105,6.40E-172,3.57E-168,6.88E-59
S64,0.962991787,0.907243088,7.05E-50,3.53E-58,1.23E-150,2.41E-144,1
S65,0.933246598,0.952969905,1,9.28E-90,1.21E-191,3.62E-183,1.97E-53
S66,1.059859454,1.045808264,2.55E-51,7.21E-52,7.69E-140,9.81E-137,1
S67,0.975851471,0.925071175,0,0,0,0,0
S68,1.022380762,1.01462432,1,1.02E-80,1.03E-170,1.80E-166,1.26E-41
S69,0.989585174,1.102941604,1,4.47E-94,6.51E-180,8.25E-171,5.42E-55
S7,1.052633819,0.969022066,1.15E-125,1,1.74E-196,6.77E-190,1.45E-57
S70,1.001198024,0.914997497,1,7.83E-100,1.70E-190,7.03E-183,1.17E-53
S71,0.901787806,0.972641902,2.59E-51,7.85E-54,8.52E-149,2.22E-143,1
S72,0.976431126,0.992111379,7.34E-54,4.78E-51,7.81E-142,4.05E-137,1
S73,0.93018291,1.0313728,1.20E-44,5.98E-43,2.25E-137,1.31E-131,1
S74,1.079149025,0.928142165,1,2.27E-91,1.20E-170,3.91E-164,1.19E-46
S75,0.957708336,0.974112591,1,7.33E-91,4.32E-180,3.02E-173,2.21E-45
S76,0.938538136,0.92186515,2.71E-47,6.99E-55,6.47E-161,1.22E-155,1
S77,1.09768381,1.004210341,1,1.06E-101,1.39E-177,7.31E-174,3.67E-58
S78,0.986593385,1.00155178,1.89E-113,5.86E-127,0.000000109,0.999999891,1.56E-77
S79,0.966821495,1.054437219,1,5.28E-104,3.34E-185,7.38E-179,9.99E-56
S8,1.012698292,0.964893407,1,3.44E-89,8.32E-177,4.24E-170,1.67E-44
S81,0.946625901,1.058907247,1,9.83E-101,5.75E-209,2.10E-203,6.66E-53
S82,0.935752677,0.982403565,1,1.42E-100,4.90E-186,6.97E-177,6.33E-58
S83,1.015959308,1.030384395,1,1.91E-102,4.85E-193,1.88E-186,8.34E-52
S84,1.176229064,1.08413794,1,7.02E-94,1.74E-181,1.06E-176,1.33E-50
S85,1.03454907,1.039391144,1,3.33E-101,4.62E-188,5.47E-181,5.35E-55
S86,1.0518028,1.034156426,1,1.71E-95,2.68E-184,2.50E-178,3.45E-53
S87,1.026813539,1.033773004,1,3.28E-94,2.23E-177,4.23E-169,2.10E-48
S88,1.051677462,1.020986908,1,1.09E-89,1.92E-184,2.00E-178,6.26E-49
S89,0.921562797,0.98118004,2.42E-83,1,1.91E-150,1.06E-146,1.73E-16
S9,1.061364424,1.014002447,1,5.42E-90,1.20E-186,3.94E-180,3.28E-51
S90,0.953467816,1.100213334,1,7.29E-114,6.86E-207,8.76E-201,3.96E-66
S91,1.023487768,0.983921467,1,2.94E-110,3.32E-192,4.87E-186,1.43E-59
S92,1.048991586,1.005402687,1.75E-42,4.57E-53,1.41E-135,2.35E-130,1
S93,1.099221247,1.032435354,1,5.08E-94,1.17E-175,2.20E-169,1.02E-52
S94,0.968435859,1.167470106,1,8.40E-80,4.01E-168,2.83E-161,5.19E-44
S95,1.04998784,0.971474086,5.57E-56,3.12E-18,1.95E-141,2.14E-134,1
S96,0.938635185,0.971527832,1,1.64E-84,9.80E-172,1.68E-166,4.44E-46
S97,1.035426905,0.973770694,9.02E-59,6.14E-51,7.07E-147,9.86E-145,1
S98,1.040315807,1.034991211,0,0,0,0,0
S99,1.042680796,1.046342497,1,1.59E-82,1.58E-177,2.84E-172,5.28E-48
